[11-Dec-2016 22:59:14 UTC] PHP  19. Illuminate\Routing\Route->signatureParameters() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Routing/Router.php:857
[11-Dec-2016 22:59:14 UTC] PHP  20. ReflectionMethod->__construct() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Routing/Route.php:280
[11-Dec-2016 22:59:14 UTC] PHP  21. spl_autoload_call() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Routing/Route.php:280
[11-Dec-2016 22:59:14 UTC] PHP  22. Composer\Autoload\ClassLoader->loadClass() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Routing/Route.php:280
[11-Dec-2016 22:59:14 UTC] PHP  23. Composer\Autoload\includeFile() /home/ubuntu/workspace/project/vendor/composer/ClassLoader.php:301
[12-Dec-2016 00:25:04 UTC] PHP Fatal error:  Call to a member function majors() on a non-object in /home/ubuntu/workspace/project/app/Http/Controllers/AdminController.php on line 103
[12-Dec-2016 00:25:04 UTC] PHP Stack trace:
[12-Dec-2016 00:25:04 UTC] PHP   1. {main}() /home/ubuntu/workspace/project/public/index.php:0
[12-Dec-2016 00:25:04 UTC] PHP   2. Illuminate\Foundation\Http\Kernel->handle() /home/ubuntu/workspace/project/public/index.php:54
[12-Dec-2016 00:25:04 UTC] PHP   3. Illuminate\Foundation\Http\Kernel->sendRequestThroughRouter() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:99
[12-Dec-2016 00:25:04 UTC] PHP   4. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:132
[12-Dec-2016 00:25:04 UTC] PHP   5. call_user_func:{/home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[12-Dec-2016 00:25:04 UTC] PHP   6. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[12-Dec-2016 00:25:04 UTC] PHP   7. call_user_func:{/home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[12-Dec-2016 00:25:04 UTC] PHP   8. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[12-Dec-2016 00:25:04 UTC] PHP   9. call_user_func_array:{/home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[12-Dec-2016 00:25:04 UTC] PHP  10. Illuminate\Foundation\Http\Middleware\CheckForMaintenanceMode->handle() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[12-Dec-2016 00:25:04 UTC] PHP  11. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:44
[12-Dec-2016 00:25:04 UTC] PHP  12. call_user_func:{/home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52}() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52
[12-Dec-2016 00:25:04 UTC] PHP  13. Illuminate\Foundation\Http\Kernel->Illuminate\Foundation\Http\{closure}() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52
